Time_(s),Potential_(V),ln(V)
0,2.91331,1.069289892
0.5,2.88401,1.059181687
1,2.89866,1.064248561
1.5,2.84982,1.047255834
2,2.8254,1.038649948
2.5,2.80586,1.031710087
3,2.78144,1.022968779
3.5,2.76191,1.015922469
4,2.74237,1.00882251
4.5,2.71795,0.9998779197
5,2.69353,0.990852601
5.5,2.67399,0.983571739
6,2.65446,0.9762412442
6.5,2.63492,0.968852821
7,2.61539,0.961413226
7.5,2.59585,0.953914016
8,2.57631,0.9463581426
8.5,2.55678,0.9387486543
9,2.53724,0.9310768761
9.5,2.52259,0.9252861515
10,2.49817,0.9155584638
10.5,2.47863,0.9077059882
11,2.46398,0.9017779288
11.5,2.44444,0.8938160578
12,2.42491,0.8857944103
12.5,2.41026,0.8797346255
13,2.39072,0.8715945758
13.5,2.37607,0.8654478623
14,2.35653,0.857190198
14.5,2.337,0.8488680556
15,2.32234,0.8425752981
15.5,2.30769,0.8362470242
16,2.28816,0.8277480011
16.5,2.27351,0.8213248928
17,2.25397,0.8126931059
17.5,2.2442,0.8083491102
18,2.22955,0.8017997714
18.5,2.21001,0.7929970404
19,2.19536,0.7863460422
19.5,2.18071,0.7796505119
20,2.16606,0.772909849
20.5,2.14652,0.7638479261
21,2.13187,0.7569995288
21.5,2.1221,0.7524061644
22,2.10745,0.7454786858
22.5,2.0928,0.7385028823
23,2.07815,0.7314780749
23.5,2.06349,0.7243987241
24,2.04884,0.7172737793
24.5,2.03419,0.7100977053
25,2.01954,0.7028697627
25.5,2.00488,0.6955842086
26,1.99512,0.6907041989
26.5,1.98046,0.683329141
27,1.96581,0.6759043741
27.5,1.95604,0.6709220213
28,1.94139,0.6634042114
28.5,1.92674,0.6558294556
29,1.91209,0.6481968847
29.5,1.90232,0.6430741939
30,1.88767,0.6353432643
30.5,1.8779,0.6301541312
31,1.86325,0.6223222748
31.5,1.8486,0.6144285958
32,1.83883,0.6091294998
32.5,1.82906,0.6038021737
33,1.81441,0.595760346
33.5,1.80464,0.5903611259
