Time_(s),Potential_(V),ln(V)
34,1.78999,0.5822100332
34.5,1.78022,0.5767369522
35,1.76557,0.5684735844
35.5,1.7558,0.5629245935
36,1.74115,0.5545458145
36.5,1.73138,0.5489187784
37,1.72161,0.5432598995
37.5,1.71184,0.5375688154
38,1.70208,0.5318510326
38.5,1.68742,0.5232007352
39,1.67766,0.5173999653
39.5,1.66789,0.5115593545
40,1.65812,0.5056844305
40.5,1.64835,0.4997747876
41,1.63858,0.4938300131
41.5,1.62882,0.4878558263
42,1.61416,0.4788146975
42.5,1.6044,0.4727498549
43,1.59463,0.4666417344
43.5,1.58486,0.4604960754
44,1.57021,0.4512093684
44.5,1.56532,0.4480902759
45,1.55556,0.4418356094
45.5,1.54579,0.4355351065
46,1.53114,0.426012556
46.5,1.52625,0.4228137464
47,1.51648,0.4163918598
47.5,1.50672,0.4099351028
48,1.49206,0.4001577155
48.5,1.48718,0.3968817092
49,1.47741,0.3902905547
49.5,1.46764,0.3836556685
50,1.45788,0.3769833257
50.5,1.45299,0.3736235023
51,1.44322,0.3668767283
51.5,1.43346,0.3600911022
52,1.42369,0.3532520927
52.5,1.41392,0.3463659888
53,1.40904,0.3429086214
53.5,1.39927,0.3359506721
54,1.3895,0.3289439702
54.5,1.37973,0.3218878279
55,1.36996,0.3147815423
55.5,1.36508,0.311213035
56,1.35531,0.3040302105
56.5,1.34554,0.2967954195
57,1.33578,0.2895153909
57.5,1.33089,0.2858478914
58,1.32112,0.2784798617
58.5,1.31136,0.2710647666
59,1.30647,0.2673288436
59.5,1.2967,0.2598225756
60,1.29182,0.2560520768
60.5,1.28205,0.2484603593
61,1.27228,0.2408105665
61.5,1.2674,0.2369675579
62,1.25763,0.2292289974
62.5,1.24786,0.2214300842
63,1.24298,0.2175117223
63.5,1.23321,0.209620526
64,1.22833,0.2056555233
64.5,1.21856,0.1976698337
65,1.20879,0.1896198593
65.5,1.20391,0.1855745933
66,1.19414,0.177426261
66.5,1.18926,0.173331265
67,1.17949,0.1650821417
67.5,1.1746,0.1609276641
68,1.16972,0.1567644039
68.5,1.15995,0.1483769007
69,1.15507,0.1441609482
69.5,1.1453,0.1356666114
70,1.14042,0.1313966156
70.5,1.13553,0.1270995023
71,1.12576,0.1184583631
71.5,1.116,0.109750864
72,1.116,0.109750864
72.5,1.10623,0.1009578381
73,1.10134,0.09652762024
73.5,1.09158,0.08762618795
74,1.08669,0.08313637887
74.5,1.07692,0.07410511501
75,1.07204,0.06956337539
75.5,1.06716,0.06500091422
76,1.05739,0.05580360762
76.5,1.0525,0.05116828657
77,1.04274,0.04185186402
77.5,1.03785,0.03715126563
78,1.03297,0.03243814809
78.5,1.02808,0.02769298502
79,1.0232,0.02293497128
79.5,1.01343,0.01334061694
80,1.00855,0.008513655765
80.5,1.00366,0.003653318498
81,0.998779,-0.001221746028
81.5,0.993896,-0.006122705566
82,0.984128,-0.01599930909
82.5,0.979243,-0.02097545479
83,0.97436,-0.02597443377
83.5,0.969476,-0.03099955963
84,0.959707,-0.04112724944
84.5,0.959707,-0.04112724944
85,0.954823,-0.04622929599
85.5,0.945056,-0.05651109398
86,0.940171,-0.06169350537
86.5,0.930404,-0.07213637856
87,0.930404,-0.07213637856
87.5,0.920635,-0.08269162964
88,0.915751,-0.08801078532
88.5,0.910868,-0.09335728794
89,0.905984,-0.09873363314
89.5,0.896215,-0.1095749394
90,0.896215,-0.1095749394
90.5,0.891332,-0.1150383059
91,0.886448,-0.1205328128
91.5,0.881563,-0.1260588106
92,0.876679,-0.1316143741
92.5,0.866912,-0.1428178068
93,0.866912,-0.1428178068
93.5,0.857143,-0.1541505132
94,0.85226,-0.1598636344
94.5,0.847376,-0.1656107631
95,0.842491,-0.1713922993
95.5,0.837607,-0.1772062623
96,0.832724,-0.1830530243
96.5,0.82784,-0.18893538
97,0.82784,-0.18893538
97.5,0.818071,-0.2008061491
98,0.818071,-0.2008061491
98.5,0.808304,-0.2128170536
99,0.803419,-0.2188789078
99.5,0.798535,-0.2249764801
100,0.798535,-0.2249764801
100.5,0.793652,-0.231110201
101,0.783883,-0.2434955045
101.5,0.778999,-0.2497455168
102,0.778999,-0.2497455168
102.5,0.774116,-0.2560335458
103,0.769232,-0.2623626645
103.5,0.759463,-0.2751436744
104,0.759463,-0.2751436744
104.5,0.75458,-0.2815939759
105,0.749696,-0.288087488
105.5,0.744811,-0.2946247841
106,0.739927,-0.3012037463
106.5,0.735044,-0.3078249176
107,0.73016,-0.3144915908
107.5,0.725275,-0.3212043857
108,0.720391,-0.3279611588
108.5,0.720391,-0.3279611588
109,0.715508,-0.3347624991
109.5,0.710624,-0.3416118217
110,0.705739,-0.3485097982
110.5,0.700855,-0.3554542607
111,0.695971,-0.3624472862
111.5,0.695971,-0.3624472862
112,0.691088,-0.3694881117
112.5,0.686203,-0.3765817767
113,0.681319,-0.3837246537
113.5,0.676435,-0.3909189188
114,0.671552,-0.3981638274
114.5,0.671552,-0.3981638274
115,0.666667,-0.4054646081
115.5,0.661783,-0.4128175713
116,0.656899,-0.4202250014
116.5,0.652016,-0.4276861775
117,0.647131,-0.435206532
117.5,0.647131,-0.435206532
118,0.642247,-0.4427823141
118.5,0.637363,-0.450415927
119,0.63248,-0.4581066794
119.5,0.63248,-0.4581066794
120,0.627595,-0.465860225
120.5,0.622711,-0.4736727523
121,0.622711,-0.4736727523
121.5,0.617827,-0.481546796
122,0.612944,-0.4894817012
122.5,0.608059,-0.4974833623
123,0.603175,-0.5055479088
123.5,0.598291,-0.5136780213
124,0.598291,-0.5136780213
124.5,0.598291,-0.5136780213
125,0.588523,-0.5301392706
125.5,0.583639,-0.538472638
126,0.583639,-0.538472638
126.5,0.578755,-0.5468760343
127,0.578755,-0.5468760343
127.5,0.573872,-0.555348904
128,0.568987,-0.5638976922
128.5,0.568987,-0.5638976922
129,0.564103,-0.57251842
129.5,0.559219,-0.5812141115
130,0.554336,-0.5899842779
130.5,0.549451,-0.5988356811
131,0.549451,-0.5988356811
131.5,0.544567,-0.6077642955
132,0.544567,-0.6077642955
132.5,0.539683,-0.6167733488
133,0.539683,-0.6167733488
133.5,0.5348,-0.6258624338
134,0.529915,-0.6350386627
134.5,0.529915,-0.6350386627
135,0.525031,-0.6442979705
135.5,0.520147,-0.653643815
136,0.520147,-0.653643815
136.5,0.515264,-0.6630758883
137,0.515264,-0.6630758883
137.5,0.505495,-0.6822171318
138,0.505495,-0.6822171318
138.5,0.500611,-0.6919259266
139,0.500611,-0.6919259266
139.5,0.495728,-0.7017278898
140,0.490843,-0.7116309579
140.5,0.490843,-0.7116309579
141,0.485959,-0.7216310208
141.5,0.485959,-0.7216310208
142,0.481075,-0.7317320959
142.5,0.481075,-0.7317320959
143,0.476192,-0.7419341447
143.5,0.476192,-0.7419341447
144,0.471307,-0.7522455926
144.5,0.466423,-0.7626623313
145,0.466423,-0.7626623313
145.5,0.466423,-0.7626623313
146,0.461539,-0.7731887216
146.5,0.456656,-0.7838249068
147,0.451771,-0.7945798647
147.5,0.451771,-0.7945798647
148,0.446887,-0.8054495127
148.5,0.446887,-0.8054495127
149,0.446887,-0.8054495127
149.5,0.442003,-0.8164386096
150,0.437119,-0.8275498097
150.5,0.437119,-0.8275498097
151,0.432235,-0.8387858572
151.5,0.432235,-0.8387858572
152,0.427351,-0.8501495894
152.5,0.427351,-0.8501495894
153,0.422467,-0.8616439417
153.5,0.422467,-0.8616439417
154,0.417583,-0.8732719521
154.5,0.417583,-0.8732719521
155,0.412699,-0.8850367653
155.5,0.407815,-0.8969416388
156,0.407815,-0.8969416388
156.5,0.407815,-0.8969416388
157,0.402931,-0.9089899476
157.5,0.402931,-0.9089899476
158,0.398047,-0.9211851902
158.5,0.393163,-0.9335309948
159,0.393163,-0.9335309948
159.5,0.393163,-0.9335309948
160,0.388279,-0.9460311256
160.5,0.388279,-0.9460311256
161,0.383395,-0.9586894897
161.5,0.378511,-0.9715101444
162,0.378511,-0.9715101444
162.5,0.378511,-0.9715101444
163,0.373627,-0.9844973054
163.5,0.373627,-0.9844973054
164,0.368743,-0.9976553546
164.5,0.368743,-0.9976553546
165,0.368743,-0.9976553546
165.5,0.363859,-1.010988849
166,0.363859,-1.010988849
166.5,0.358975,-1.024502531
167,0.358975,-1.024502531
167.5,0.358975,-1.024502531
168,0.354091,-1.038201337
168.5,0.349207,-1.052090409
169,0.349207,-1.052090409
169.5,0.349207,-1.052090409
170,0.349207,-1.052090409
170.5,0.344323,-1.066175109
171,0.344323,-1.066175109
171.5,0.339439,-1.080461024
172,0.339439,-1.080461024
172.5,0.334555,-1.094953988
173,0.334555,-1.094953988
173.5,0.329671,-1.109660092
174,0.324787,-1.124585696
174.5,0.324787,-1.124585696
175,0.324787,-1.124585696
175.5,0.324787,-1.124585696
176,0.319903,-1.139737454
176.5,0.319903,-1.139737454
177,0.315019,-1.155122325
177.5,0.315019,-1.155122325
178,0.315019,-1.155122325
178.5,0.310135,-1.170747592
179,0.310135,-1.170747592
179.5,0.310135,-1.170747592
180,0.305251,-1.18662089
180.5,0.305251,-1.18662089
181,0.305251,-1.18662089
181.5,0.300367,-1.202750219
182,0.300367,-1.202750219
182.5,0.295483,-1.219143973
183,0.295483,-1.219143973
183.5,0.290599,-1.235810969
184,0.290599,-1.235810969
184.5,0.290599,-1.235810969
185,0.285715,-1.252760469
185.5,0.285715,-1.252760469
186,0.285715,-1.252760469
186.5,0.280831,-1.270002214
187,0.280831,-1.270002214
187.5,0.280831,-1.270002214
188,0.275947,-1.287546461
188.5,0.275947,-1.287546461
189,0.275947,-1.287546461
189.5,0.271063,-1.305404013
190,0.266179,-1.323586264
190.5,0.271063,-1.305404013
191,0.271063,-1.305404013
191.5,0.266179,-1.323586264
192,0.266179,-1.323586264
192.5,0.261295,-1.342105242
193,0.261295,-1.342105242
193.5,0.261295,-1.342105242
194,0.256411,-1.360973653
194.5,0.256411,-1.360973653
195,0.256411,-1.360973653
195.5,0.251527,-1.380204939
196,0.251527,-1.380204939
196.5,0.251527,-1.380204939
197,0.246643,-1.399813332
197.5,0.246643,-1.399813332
198,0.246643,-1.399813332
198.5,0.241759,-1.419813917
199,0.246643,-1.399813332
199.5,0.241759,-1.419813917
200,0.236875,-1.440222703
200.5,0.236875,-1.440222703
201,0.236875,-1.440222703
201.5,0.231991,-1.461056701
202,0.236875,-1.440222703
202.5,0.231991,-1.461056701
203,0.231991,-1.461056701
203.5,0.227107,-1.482334007
204,0.227107,-1.482334007
204.5,0.227107,-1.482334007
205,0.227107,-1.482334007
205.5,0.222223,-1.504073897
206,0.222223,-1.504073897
206.5,0.222223,-1.504073897
207,0.222223,-1.504073897
207.5,0.217339,-1.526296932
208,0.217339,-1.526296932
208.5,0.212455,-1.549025078
209,0.212455,-1.549025078
209.5,0.212455,-1.549025078
210,0.212455,-1.549025078
210.5,0.207571,-1.572281829
211,0.212455,-1.549025078
211.5,0.207571,-1.572281829
212,0.207571,-1.572281829
212.5,0.207571,-1.572281829
213,0.202687,-1.596092362
213.5,0.202687,-1.596092362
214,0.202687,-1.596092362
214.5,0.202687,-1.596092362
215,0.202687,-1.596092362
215.5,0.197803,-1.620483693
216,0.197803,-1.620483693
216.5,0.197803,-1.620483693
217,0.197803,-1.620483693
217.5,0.197803,-1.620483693
218,0.192919,-1.645484867
218.5,0.192919,-1.645484867
219,0.188035,-1.671127163
219.5,0.188035,-1.671127163
220,0.188035,-1.671127163
220.5,0.188035,-1.671127163
221,0.188035,-1.671127163
221.5,0.183151,-1.69744433
222,0.183151,-1.69744433
222.5,0.183151,-1.69744433
223,0.178267,-1.724472853
223.5,0.178267,-1.724472853
224,0.178267,-1.724472853
224.5,0.178267,-1.724472853
225,0.178267,-1.724472853
225.5,0.178267,-1.724472853
226,0.178267,-1.724472853
226.5,0.173383,-1.752252259
227,0.173383,-1.752252259
227.5,0.173383,-1.752252259
228,0.173383,-1.752252259
228.5,0.168499,-1.780825464
229,0.168499,-1.780825464
229.5,0.168499,-1.780825464
230,0.168499,-1.780825464
230.5,0.163615,-1.810239172
231,0.163615,-1.810239172
231.5,0.163615,-1.810239172
232,0.163615,-1.810239172
232.5,0.163615,-1.810239172
233,0.158731,-1.840544333
233.5,0.158731,-1.840544333
234,0.158731,-1.840544333
